0volume,0s_area,0demand,0up_spill,0ww_inflow,0catch_inflow,0evap,0ds_spill,1volume,1s_area,1demand,1up_spill,1ww_inflow,1catch_inflow,1evap,1ds_spill,1alloc_0,1alloc_1,1alloc_2,1alloc_3,2volume,2demand,2up_spill,2ww_inflow,2catch_inflow,2evap,2ds_spill,2alloc_1,2alloc_2,2alloc_3,3volume,3s_area,3demand,3up_spill,3ww_inflow,3catch_inflow,3evap,3ds_spill,4volume,4demand,4up_spill,4ww_inflow,4catch_inflow,4evap,4ds_spill,4alloc_1,4alloc_2,4alloc_3,5volume,5demand,5up_spill,5ww_inflow,5catch_inflow,5evap,5ds_spill,6volume,6demand,6up_spill,6ww_inflow,6catch_inflow,6evap,6ds_spill,9demand,10demand,11demand,12demand
1049,1,80.8361,0,0,193.4,-1.24213,113.806,9100,1,175.164,113.806,0,1101.46,-77.9968,1118.1,2273.08,3463.38,3363.54,10825,36639,775.026,287.42,0,1181.12,-371.805,969.578,8060.58,28578.4,14000,0,1,0,2875.19,0,0,0,2875.19,-2190,0,1490.01,0,267.08,0,1757.09,2190,2920,2190,0,0,161.75,0,125.67,0,287.42,1500,36.6442,0,0,195.31,-3.08434,161.75,35,35,35,35
1049,1,66.9424,0,0,300.37,1.80184,231.626,9100,1,145.058,231.626,0,1067.3,113.142,1040.73,2273.08,3463.38,3363.54,10825,36639,623.137,969.723,0,1149.03,688.893,806.722,8060.58,28578.4,14000,0,1,0,3430.36,0,0,0,3430.36,-2190,0,1358.62,0,1031.02,0,2389.64,2190,2920,2190,0,0,293.773,0,675.95,0,969.723,1500,35.433,0,0,333.68,4.47416,293.773,35,35,35,35
1049,1,68.837,0,0,121.52,6.17884,46.5042,9100,1,149.163,46.5042,0,866.98,387.987,376.334,2273.08,3463.38,3363.54,10825,36639,664.756,229.123,0,931.64,-76.1021,572.109,8060.58,28578.4,14000,0,1,0,1628.65,0,0,0,1628.65,-2190,0,1019.9,0,232.41,0,1252.31,2190,2920,2190,0,0,88.163,0,140.96,0,229.123,1500,38.7042,0,0,142.21,15.3427,88.163,35,35,35,35
1049,1,55.2591,0,0,264.06,-3.59461,212.396,9100,1,119.741,212.396,0,475.95,-225.716,794.321,2273.08,3463.38,3363.54,10825,36400.8,635.658,180.814,0,514.01,145.531,490,7947.57,28453.2,13661.9,0,1,0,1891.37,0,0,0,1891.37,-2190,0,967.262,0,129.79,0,1097.05,2190,2920,2190,0,0,112.014,0,68.8,0,180.814,1500,37.3016,0,0,140.39,-8.92582,112.014,35,35,35,35
1049,1,65.6793,0,0,768.78,4.16396,698.937,9100,1,142.321,698.937,0,10954.3,261.467,11249.5,2273.08,3463.38,3363.54,10825,36639,658.516,1516.91,0,11130.2,-459.12,11871.4,8060.58,28578.4,14000,0,1,0,24026.7,0,0,0,24026.7,-2190,0,12322.3,0,454.95,0,12777.2,2190,2920,2190,0,0,751.127,0,765.78,0,1516.91,1500,38.7036,0,0,800.17,10.3396,751.127,35,35,35,35
1049,1,54.6275,0,0,785.62,6.20757,724.785,9100,1,118.372,724.785,0,7192.03,389.791,7408.65,2273.08,3463.38,3363.54,10825,36639,708.025,888.931,0,7305.69,231.506,7255.09,8060.58,28578.4,14000,0,1,0,17317.7,0,0,0,17317.7,-2190,0,7722.23,0,2186.78,0,9909.01,2190,2920,2190,0,0,288.251,0,600.68,0,888.931,1500,34.1151,0,0,337.78,15.4141,288.251,35,35,35,35
1049,1,57.4694,0,0,1089.06,1.57507,1030.02,9100,1,124.531,1030.02,0,4953.6,98.903,5760.18,2273.08,3463.38,3363.54,10825,36639,764.637,1683.7,0,5263.87,87.6904,6095.24,8060.58,28578.4,14000,0,1,0,14144.3,0,0,0,14144.3,-2190,0,6592.48,0,1791.68,0,8384.16,2190,2920,2190,0,0,946.586,0,737.11,0,1683.7,1500,39.2628,0,0,989.76,3.91107,946.586,35,35,35,35
1049,1,59.6798,0,0,719.03,0.053986,659.296,9100,1,129.32,659.296,0,9163.02,3.38993,9689.61,2273.08,3463.38,3363.54,10825,36639,771.726,1943.21,0,9432.38,259.209,10344.7,8060.58,28578.4,14000,0,1,0,20946.4,0,0,0,20946.4,-2190,0,10883.3,0,373.54,0,11256.8,2190,2920,2190,0,0,631.322,0,1311.89,0,1943.21,1500,37.1635,0,0,668.62,0.134053,631.322,35,35,35,35
1049,1,73.5735,0,0,1104.16,-14.467,1045.05,9100,1,159.427,1045.05,0,3208.5,-908.423,5002.55,2273.08,3463.38,3363.54,10825,36639,779.254,3639.21,0,3593.1,-138.827,6591.88,8060.58,28578.4,14000,0,1,0,12585,0,0,0,12585,-2190,0,7139.51,0,442.92,0,7582.43,2190,2920,2190,0,0,718.857,0,2920.35,0,3639.21,1500,37.5762,0,0,720.51,-35.9231,718.857,35,35,35,35
1049,1,62.5217,0,0,575.7,-13.2885,526.467,9100,1,135.478,526.467,0,2510.24,-834.42,3735.65,2273.08,3463.38,3363.54,10825,36639,663.489,1399.87,0,2599.35,229.882,3105.84,8060.58,28578.4,14000,0,1,0,7589.91,0,0,0,7589.91,-2190,0,3661.3,0,192.96,0,3854.26,2190,2920,2190,0,0,635.826,0,764.04,0,1399.87,1500,34.9607,0,0,637.79,-32.9967,635.826,35,35,35,35
