0st_vol,0capacity,0net_inf,0st_rof,0st_stor_rof,0st_trmt_rof,0lt_rof,0lt_stor_rof,0lt_trmt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0stor_vol,0obs_ann_dem,0proj_dem,0pv_debt_serv,0gross_rev,1st_vol,1capacity,1net_inf,1st_rof,1st_stor_rof,1st_trmt_rof,1lt_rof,1lt_stor_rof,1lt_trmt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1cont_fund,1ins_pout,1ins_price,1infra_npv,1debt_serv,1stor_vol,1obs_ann_dem,1proj_dem,1pv_debt_serv,1gross_rev,2st_vol,2capacity,2net_inf,2st_rof,2st_stor_rof,2st_trmt_rof,2lt_rof,2lt_stor_rof,2lt_trmt_rof,2rest_demand,2unrest_demand,2unfulf_demand,2wastewater,2treat_capacity,2cont_fund,2ins_pout,2ins_price,2infra_npv,2debt_serv,2stor_vol,2obs_ann_dem,2proj_dem,2pv_debt_serv,2gross_rev
3322.08,3322.08,319.057,0,0,0,0,0,0,256,256,0,0,1108,1,0,0,0,0,3322.08,0,0,0,2.74304,9560.58,9560.58,383.317,0,0,0,0,0,0,233.56,233.56,0,151.554,137999,1,0,0,0,0,9560.58,0,0,0,1.6926,28578.4,28578.4,666.572,0,0,0,0,0,0,578.11,578.11,0,368.88,61999.4,1,0,0,0,0,28578.4,0,0,0,2.6223
3322.08,3322.08,422.13,0,0,0,0,0,0,212,212,0,0,1108,1,0,0,0,0,3322.08,0,0,0,2.27158,9560.58,9560.58,516.58,0,0,0,0,0,0,225.84,225.84,0,158.809,137999,1,0,0,0,0,9560.58,0,0,0,1.63665,28578.4,28578.4,648.462,0,0,0,0,0,0,432.73,432.73,0,393.086,61999.4,1,0,0,0,0,28578.4,0,0,0,1.96286
3322.08,3322.08,220.427,0,0,0,0,0,0,218,218,0,0,1108,1,0,0,0,0,3322.08,0,0,0,2.33587,9560.58,9560.58,290.506,0,0,0,0,0,0,246.69,246.69,0,153.56,137999,1,0,0,0,0,9560.58,0,0,0,1.78775,28578.4,28578.4,525.777,0,0,0,0,0,0,456.77,456.77,0,294.235,61999.4,1,0,0,0,0,28578.4,0,0,0,2.07191
3322.08,3322.08,318.357,0,0,0,0,0,0,175,175,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.87513,9447.57,9560.58,222.209,0,0,0,0,0,0,237.75,237.75,0,167.367,137999,1,0,0,0,0,9447.57,0,0,0,1.72297,28453.2,28578.4,290.085,0,0,0,0,0,0,435.21,435.21,0,309.896,61999.4,1,0,0,0,0,28453.2,0,0,0,1.97411
3322.08,3322.08,2018.47,0,0,0,0,0,0,208,208,0,0,1108,1,0,0,0,0,3322.08,0,0,0,2.22872,9560.58,9560.58,2571.85,0,0,0,0,0,0,243.77,243.77,0,159.295,137999,1,0,0,0,0,9560.58,0,0,0,1.76659,28578.4,28578.4,6281.41,0,0,0,0,0,0,453.45,453.45,0,291.595,61999.4,1,0,0,0,0,28578.4,0,0,0,2.05685
3322.08,3322.08,1606.1,0,0,0,0,0,0,173,173,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.99808,9560.58,9560.58,1500.68,0,0,0,0,0,0,217.44,217.44,0,163.328,137999,1,0,0,0,0,9560.58,0,0,0,1.67939,28578.4,28578.4,4123.01,0,0,0,0,0,0,524.7,524.7,0,303.816,61999.4,1,0,0,0,0,28578.4,0,0,0,2.41283
3322.08,3322.08,1654.18,0,0,0,0,0,0,182,182,0,0,1108,1,0,0,0,0,3322.08,0,0,0,2.10202,9560.58,9560.58,1827.65,0,0,0,0,0,0,250.25,250.25,0,145.687,137999,1,0,0,0,0,9560.58,0,0,0,1.9328,28578.4,28578.4,2970.7,0,0,0,0,0,0,553.65,553.65,0,351.554,61999.4,1,0,0,0,0,28578.4,0,0,0,2.54595
3322.08,3322.08,1764.36,0,0,0,0,0,0,189,189,0,0,1108,1,0,0,0,0,3322.08,0,0,0,2.18287,9560.58,9560.58,2170.04,0,0,0,0,0,0,236.87,236.87,0,167.67,137999,1,0,0,0,0,9560.58,0,0,0,1.82946,28578.4,28578.4,5323.22,0,0,0,0,0,0,572.02,572.02,0,370.951,61999.4,1,0,0,0,0,28578.4,0,0,0,2.63043
3322.08,3322.08,1470.19,0,0,0,0,0,0,233,233,0,0,1108,1,0,0,0,0,3322.08,0,0,0,2.69105,9560.58,9560.58,1292.45,0,0,0,0,0,0,239.5,239.5,0,160.363,137999,1,0,0,0,0,9560.58,0,0,0,1.84977,28578.4,28578.4,2027.79,0,0,0,0,0,0,577.33,577.33,0,387.263,61999.4,1,0,0,0,0,28578.4,0,0,0,2.65485
3322.08,3322.08,862.073,0,0,0,0,0,0,198,198,0,0,1108,1,0,0,0,0,3322.08,0,0,0,2.29389,9560.58,9560.58,1051.55,0,0,0,0,0,0,222.83,222.83,0,162.862,137999,1,0,0,0,0,9560.58,0,0,0,1.73798,28578.4,28578.4,1466.96,0,0,0,0,0,0,475.62,475.62,0,392.59,61999.4,1,0,0,0,0,28578.4,0,0,0,2.28009
